|6.6.6
echonhy_1.tab                                                                                       
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3499.747       5.878889       2.409477       3991250.      0.3401935E-04
  3500.519       5.880747       2.409857       3991594.      0.3398782E-04
  3495.756       5.876827       2.396214       3995616.      0.3361457E-04
  3496.526       5.878590       2.396586       3995964.      0.3358357E-04
  3497.294       5.880352       2.396957       3996311.      0.3355263E-04
  3506.117       5.891373       2.417802       3991334.      0.3402193E-04
  3506.886       5.893253       2.418186       3991672.      0.3399054E-04
  3502.384       5.889220       2.405210       3995243.      0.3363614E-04
  3503.151       5.891017       2.405585       3995584.      0.3360524E-04
  3512.269       5.903039       2.427204       3990791.      0.3409133E-04
  3513.037       5.904949       2.427592       3991122.      0.3405999E-04
  3514.675       5.904291       2.429708       3991629.      0.3404339E-04
  3515.443       5.906193       2.430096       3991960.      0.3401214E-04
  3515.523       5.910105       2.429126       3992119.      0.3396950E-04
  3516.289       5.911999       2.429514       3992447.      0.3393843E-04
  3517.054       5.913889       2.429902       3992775.      0.3390742E-04
  3518.885       5.912672       2.432384       3993495.      0.3389400E-04
  3519.651       5.914556       2.432771       3993822.      0.3386307E-04
  3519.536       5.918985       2.431438       3993778.      0.3381787E-04
  3520.298       5.920861       2.431825       3994103.      0.3378711E-04
  3521.608       5.921153       2.433279       3994600.      0.3376524E-04
  3522.371       5.923022       2.433666       3994924.      0.3373458E-04
  3522.779       5.925906       2.433366       3995117.      0.3369833E-04
  3523.539       5.927768       2.433753       3995439.      0.3366781E-04
  3524.300       5.929627       2.434140       3995761.      0.3363736E-04
  3525.154       5.931214       2.434709       3996110.      0.3360846E-04
  3525.913       5.933066       2.435095       3996431.      0.3357813E-04
  3527.412       5.934740       2.437035       3997665.      0.3359801E-04
  3528.170       5.936597       2.437422       3997984.      0.3356773E-04
  3528.353       5.939403       2.436658       3997935.      0.3351606E-04
  3529.110       5.941250       2.437045       3998252.      0.3348595E-04
  3532.932       5.942344       2.443835       4002264.      0.3365622E-04
  3533.690       5.944224       2.444220       4002580.      0.3362594E-04
  3534.447       5.946101       2.444604       4002895.      0.3359573E-04
  3534.236       5.949355       2.443029       4002974.      0.3353633E-04
  3534.991       5.951220       2.443414       4003287.      0.3350630E-04
  3539.493       5.952416       2.451633       4007730.      0.3370722E-04
  3540.250       5.954316       2.452016       4008041.      0.3367700E-04
  3537.254       5.956796       2.444567       4004222.      0.3341657E-04
  3538.007       5.958648       2.444952       4004532.      0.3338678E-04
  3545.649       5.961354       2.459822       4013624.      0.3381829E-04
  3546.406       5.963281       2.460203       4013932.      0.3378803E-04
  3546.720       5.965237       2.459566       4015190.      0.3376458E-04
  3547.476       5.967156       2.459946       4015496.      0.3373445E-04
  3548.230       5.969072       2.460325       4015801.      0.3370438E-04
  3552.830       5.973053       2.468999       4020536.      0.3392281E-04
  3553.585       5.975001       2.469379       4020838.      0.3389258E-04
  3561.288       6.019789       2.480315       3995045.      0.3410838E-04
  3562.030       6.021780       2.480740       3995323.      0.3407845E-04
  3566.386       6.033724       2.488072       3994269.      0.3427062E-04
  3567.126       6.035741       2.488503       3994540.      0.3424066E-04
  3571.750       6.048686       2.496391       3993470.      0.3445083E-04
  3572.487       6.050731       2.496830       3993734.      0.3442083E-04
  3573.224       6.052771       2.497269       3993997.      0.3439090E-04
  3577.962       6.066388       2.505434       3992918.      0.3461014E-04
  3578.696       6.068456       2.505881       3993173.      0.3458017E-04
  3585.999       6.084954       2.516289       3989996.      0.3489171E-04
  3586.731       6.087067       2.516753       3990242.      0.3486163E-04
  3589.306       6.093954       2.520528       3989990.      0.3493846E-04
  3590.036       6.096071       2.520996       3990232.      0.3490844E-04
  3592.344       6.104237       2.527236       3994842.      0.3501683E-04
  3593.071       6.106353       2.527701       3995080.      0.3498686E-04
  3592.682       6.105270       2.524405       3991870.      0.3487193E-04
  3593.409       6.107368       2.524871       3992108.      0.3484217E-04
  3594.135       6.109461       2.525338       3992345.      0.3481247E-04
  3598.632       6.097734       2.529836       4007184.      0.3501945E-04
  3328.292       5.243931       1.917658       4328959.      0.3794233E-04
  3329.223       5.245806       1.917807       4329630.      0.3790090E-04
  3423.601       5.722299       2.336060       4021444.      0.3701943E-04
  3424.424       5.724101       2.336423       4021884.      0.3698317E-04
  3426.490       5.736216       2.344897       4012967.      0.3691532E-04
  3427.309       5.738014       2.345264       4013400.      0.3687931E-04
  3428.676       5.744545       2.349361       4009547.      0.3682775E-04
