|6.6.6
pyro_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3470.474       8.599659       4.945690       2828882.      0.1840767E-04
  3470.967       8.601253       4.946148       2829148.      0.1839101E-04
  3471.460       8.602848       4.946606       2829310.      0.1837451E-04
  3471.966       8.604352       4.946934       2829450.      0.1835935E-04
  3472.458       8.605944       4.947392       2829585.      0.1834284E-04
  3472.950       8.607535       4.947848       2829778.      0.1832635E-04
  3473.442       8.609126       4.948305       2829940.      0.1830998E-04
  3473.933       8.610716       4.948761       2829878.      0.1829378E-04
  3474.425       8.612304       4.949217       2829976.      0.1827718E-04
  3474.916       8.613890       4.949672       2830323.      0.1826103E-04
  3475.406       8.615476       4.950128       2830428.      0.1824470E-04
  3475.897       8.617062       4.950583       2830320.      0.1822820E-04
  3476.387       8.618645       4.951037       2830639.      0.1821198E-04
  3476.877       8.620227       4.951492       2830952.      0.1819595E-04
  3477.367       8.621811       4.951946       2830882.      0.1817968E-04
  3477.856       8.623393       4.952399       2830944.      0.1816371E-04
  3478.345       8.624973       4.952853       2831038.      0.1814753E-04
  3478.834       8.626550       4.953306       2831437.      0.1813125E-04
  3322.327       7.379926       3.690072       2803031.      0.2067602E-04
  3322.885       8.162356       4.766892       2803241.      0.2065792E-04
  3357.649       8.226768       4.795929       2832154.      0.2158031E-04
  3358.200       8.228592       4.796474       2832358.      0.2155686E-04
  3358.752       8.230415       4.797019       2832553.      0.2153330E-04
  3359.303       8.232235       4.797563       2832893.      0.2150970E-04
  3360.094       8.234898       4.798653       2833203.      0.2148526E-04
  3360.644       8.236715       4.799196       2833398.      0.2146172E-04
  3370.449       8.271519       4.820722       2838715.      0.2138319E-04
  3370.993       8.273319       4.821251       2838927.      0.2135994E-04
  3371.536       8.275118       4.821780       2839055.      0.2133659E-04
  3372.082       8.276955       4.822325       2839193.      0.2131366E-04
  3372.624       8.278752       4.822853       2839151.      0.2129040E-04
  3373.170       8.280583       4.823397       2839453.      0.2126759E-04
  3373.711       8.282377       4.823924       2839543.      0.2124466E-04
  3374.956       8.286562       4.825807       2840771.      0.2121922E-04
  3375.497       8.288353       4.826333       2840790.      0.2119641E-04
  3381.043       8.307184       4.836434       2846568.      0.2115434E-04
  3381.581       8.308963       4.836955       2846707.      0.2113169E-04
  3382.119       8.310740       4.837476       2846867.      0.2110912E-04
  3382.657       8.312516       4.837996       2846951.      0.2108687E-04
  3383.194       8.314291       4.838516       2847195.      0.2106461E-04
  3383.731       8.316066       4.839035       2847006.      0.2104221E-04
  3384.267       8.317836       4.839554       2847475.      0.2101980E-04
  3384.804       8.319607       4.840073       2847419.      0.2099760E-04
  3385.340       8.321375       4.840591       2847654.      0.2097528E-04
  3394.559       8.351812       4.857153       2857312.      0.2092559E-04
  3395.091       8.353564       4.857664       2857663.      0.2090392E-04
  3395.623       8.355317       4.858175       2857606.      0.2088220E-04
  3396.154       8.357067       4.858685       2857902.      0.2086051E-04
  3396.686       8.358817       4.859195       2858009.      0.2083909E-04
  3397.217       8.360565       4.859704       2858086.      0.2081745E-04
  3397.747       8.362312       4.860213       2858172.      0.2079606E-04
  3398.277       8.364056       4.860722       2858504.      0.2077437E-04
  3398.807       8.365800       4.861230       2858633.      0.2075311E-04
  3398.436       8.364940       4.859794       2857998.      0.2073048E-04
  3398.966       8.366682       4.860302       2858193.      0.2070883E-04
  3399.495       8.368421       4.860809       2858489.      0.2068753E-04
  3400.023       8.370161       4.861317       2858559.      0.2066630E-04
  3400.552       8.371901       4.861823       2858503.      0.2064510E-04
  3401.080       8.373638       4.862330       2858698.      0.2062387E-04
  3401.608       8.375374       4.862836       2858772.      0.2060275E-04
  3402.135       8.377107       4.863342       2859149.      0.2058190E-04
  3402.662       8.378841       4.863847       2859172.      0.2056086E-04
  3403.189       8.380571       4.864352       2859507.      0.2053967E-04
  3403.716       8.382303       4.864857       2859495.      0.2051875E-04
  3415.044       8.418962       4.883248       2872107.      0.2046557E-04
  3415.566       8.420676       4.883744       2871969.      0.2044505E-04
  3416.088       8.422385       4.884239       2872276.      0.2042452E-04
  3416.609       8.424094       4.884735       2872386.      0.2040430E-04
  3417.130       8.425803       4.885230       2872388.      0.2038390E-04
  3417.651       8.427508       4.885724       2872829.      0.2036365E-04
  3418.171       8.429213       4.886219       2872950.      0.2034354E-04
  3418.692       8.430917       4.886712       2873176.      0.2032323E-04
  3419.211       8.432621       4.887206       2873102.      0.2030308E-04
  3419.731       8.434322       4.887699       2873322.      0.2028299E-04
  3420.250       8.436022       4.888192       2873638.      0.2026300E-04
  3420.769       8.437722       4.888684       2873571.      0.2024277E-04
  3421.287       8.439421       4.889176       2873585.      0.2022296E-04
  3421.806       8.441116       4.889668       2873860.      0.2020302E-04
  3422.324       8.442811       4.890159       2874122.      0.2018310E-04
  3422.841       8.444506       4.890650       2874269.      0.2016337E-04
  3423.359       8.446199       4.891141       2874361.      0.2014348E-04
