|6.6.6
echon_4.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3550.167       8.115000       4.664262       2900376.      0.1920109E-04
  3550.822       8.117583       4.665034       2900604.      0.1918189E-04
  3551.376       8.119578       4.665543       2900627.      0.1915884E-04
  3551.929       8.121571       4.666052       2900701.      0.1913597E-04
  3552.481       8.123560       4.666561       2901082.      0.1911288E-04
  3553.034       8.125550       4.667069       2901290.      0.1909005E-04
  3553.585       8.127538       4.667577       2901400.      0.1906715E-04
  3554.137       8.129523       4.668085       2901543.      0.1904452E-04
  3554.688       8.131508       4.668592       2901653.      0.1902169E-04
  3555.238       8.133489       4.669099       2901946.      0.1899918E-04
  3556.014       8.136091       4.670355       2902365.      0.1898398E-04
  3556.564       8.138071       4.670861       2902509.      0.1896150E-04
  3557.114       8.140047       4.671367       2902799.      0.1893907E-04
  3557.663       8.142023       4.671872       2902910.      0.1891664E-04
  3558.211       8.143996       4.672377       2903102.      0.1889430E-04
  3558.759       8.145968       4.672881       2903365.      0.1887178E-04
  3559.307       8.147938       4.673385       2903421.      0.1884954E-04
  3559.854       8.149907       4.673889       2903628.      0.1882764E-04
  3560.401       8.151874       4.674392       2903955.      0.1880541E-04
  3560.948       8.153840       4.674896       2904037.      0.1878343E-04
  3561.494       8.155804       4.675398       2904159.      0.1876116E-04
  3562.040       8.157766       4.675901       2904317.      0.1873920E-04
  3562.585       8.159727       4.676403       2904522.      0.1871715E-04
  3563.130       8.161686       4.676904       2904760.      0.1869523E-04
  3563.675       8.163643       4.677406       2905060.      0.1867344E-04
  3564.219       8.165600       4.677907       2905099.      0.1865190E-04
  3564.763       8.167553       4.678407       2905444.      0.1862977E-04
  3565.307       8.169507       4.678908       2905559.      0.1860809E-04
  3565.926       8.172048       4.679669       2905603.      0.1858940E-04
  3566.468       8.173996       4.680169       2905966.      0.1856795E-04
  3567.011       8.175943       4.680668       2906190.      0.1854649E-04
  3567.552       8.177889       4.681167       2906414.      0.1852498E-04
  3568.094       8.179834       4.681666       2906451.      0.1850335E-04
  3568.635       8.181777       4.682164       2906745.      0.1848217E-04
  3569.176       8.183720       4.682662       2906751.      0.1846075E-04
  3569.716       8.185660       4.683159       2906898.      0.1843958E-04
  3570.256       8.187598       4.683656       2907161.      0.1841838E-04
  3570.739       8.189532       4.683948       2907459.      0.1839530E-04
  3571.278       8.191467       4.684445       2907630.      0.1837410E-04
  3571.817       8.193401       4.684941       2907749.      0.1835323E-04
  3572.355       8.195333       4.685437       2907898.      0.1833209E-04
  3572.941       8.197419       4.686113       2908236.      0.1831264E-04
  3573.479       8.199349       4.686608       2908338.      0.1829168E-04
  3574.927       8.205439       4.689640       2909115.      0.1826355E-04
  3575.463       8.207365       4.690134       2909090.      0.1824294E-04
  3579.269       8.224211       4.699732       2910840.      0.1819543E-04
  3579.804       8.226130       4.700224       2911022.      0.1817481E-04
  3580.338       8.228049       4.700714       2911171.      0.1815436E-04
  3578.346       8.218563       4.694141       2910211.      0.1815323E-04
  3578.880       8.220480       4.694633       2910552.      0.1813294E-04
  3579.414       8.222395       4.695124       2910636.      0.1811225E-04
  3579.947       8.224309       4.695616       2910861.      0.1809177E-04
  3594.857       8.291839       4.736066       2917297.      0.1796221E-04
  3595.384       8.293738       4.736547       2917399.      0.1794207E-04
  3595.911       8.295635       4.737028       2917641.      0.1792236E-04
  3596.438       8.297531       4.737509       2917867.      0.1790244E-04
  3596.964       8.299425       4.737989       2917946.      0.1788248E-04
  3597.490       8.301318       4.738469       2918381.      0.1786283E-04
  3598.015       8.303211       4.738949       2918316.      0.1784324E-04
  3598.540       8.305100       4.739428       2918483.      0.1782347E-04
  3599.065       8.306989       4.739907       2918776.      0.1780380E-04
  3591.623       8.272773       4.718129       2915560.      0.1783929E-04
  3592.150       8.274666       4.718613       2915530.      0.1781926E-04
  3592.677       8.276557       4.719096       2915900.      0.1779959E-04
  3593.203       8.278447       4.719579       2915882.      0.1777995E-04
  3593.729       8.280334       4.720061       2916255.      0.1776039E-04
  3594.255       8.282222       4.720543       2916130.      0.1774080E-04
  3594.780       8.284107       4.721025       2916419.      0.1772128E-04
