|6.6.6
epyro_2.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3446.309       8.533153       4.939057       2878799.      0.1976667E-04
  3446.816       8.534768       4.939537       2879066.      0.1974844E-04
  3447.322       8.536381       4.940016       2879153.      0.1973011E-04
  3447.828       8.537993       4.940496       2879433.      0.1971169E-04
  3453.887       8.554670       4.945446       2886329.      0.1968210E-04
  3454.391       8.556270       4.945922       2886604.      0.1966436E-04
  3454.894       8.557870       4.946397       2886642.      0.1964623E-04
  3455.396       8.559469       4.946872       2886879.      0.1962860E-04
  3455.899       8.561065       4.947347       2887221.      0.1961062E-04
  3456.401       8.562664       4.947821       2887046.      0.1959288E-04
  3456.903       8.564259       4.948295       2887318.      0.1957525E-04
  3457.405       8.565854       4.948769       2887417.      0.1955758E-04
  3457.906       8.567447       4.949242       2887558.      0.1953975E-04
  3458.407       8.569040       4.949715       2887768.      0.1952238E-04
  3458.908       8.570631       4.950188       2887922.      0.1950481E-04
  3459.409       8.572223       4.950660       2887954.      0.1948709E-04
  3459.909       8.573811       4.951132       2888210.      0.1946959E-04
  3460.409       8.575400       4.951604       2888243.      0.1945213E-04
  3460.909       8.576988       4.952075       2888311.      0.1943470E-04
  3461.408       8.578574       4.952546       2888596.      0.1941706E-04
  3461.907       8.580160       4.953017       2888652.      0.1939986E-04
  3462.406       8.581744       4.953487       2888869.      0.1938253E-04
  3468.599       8.596587       4.955058       2896533.      0.1935818E-04
  3469.095       8.598159       4.955525       2896621.      0.1934086E-04
  3469.591       8.599728       4.955992       2896940.      0.1932392E-04
  3470.087       8.601298       4.956459       2897035.      0.1930676E-04
  3470.582       8.602868       4.956925       2896954.      0.1928998E-04
  3471.077       8.604435       4.957391       2897125.      0.1927264E-04
  3471.572       8.606002       4.957856       2897293.      0.1925589E-04
  3472.066       8.607566       4.958321       2897643.      0.1923890E-04
  3472.561       8.609132       4.958786       2897704.      0.1922202E-04
  3473.055       8.610696       4.959251       2897817.      0.1920541E-04
  3473.549       8.612259       4.959715       2897821.      0.1918843E-04
  3474.042       8.613821       4.960179       2898001.      0.1917176E-04
  3474.536       8.615379       4.960642       2898503.      0.1915493E-04
  3475.029       8.616941       4.961106       2898253.      0.1913820E-04
  3475.521       8.618499       4.961569       2898450.      0.1912150E-04
  3476.014       8.620057       4.962031       2898635.      0.1910490E-04
  3476.506       8.621614       4.962494       2898681.      0.1908820E-04
  3476.998       8.623171       4.962956       2898655.      0.1907162E-04
  3484.795       8.639262       4.960902       2909076.      0.1905220E-04
  3485.284       8.640801       4.961361       2909406.      0.1903611E-04
  3485.772       8.642338       4.961819       2909621.      0.1901967E-04
  3486.260       8.643876       4.962278       2909697.      0.1900355E-04
