|6.6.6
CV3hy1wt_678_1.tab                                                                                  
           2
P(bar)  
   1.0000000000000000     
   350.87468671679198     
         400
T(K)    
   275.00000000000000     
   9.1137123745819402     
         300
           9
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  64912.82       275.0000       3906.667       6.289876       2.189147       4551918.      0.2939891E-04   1295948.       187221.7    
  65263.69       275.0000       3907.734       6.291439       2.188330       4554401.      0.2937085E-04   1297256.       187133.1    
  65614.57       275.0000       3908.954       6.295385       2.190440       4553047.      0.2932206E-04   1299121.       187552.7    
  65965.44       275.0000       3910.095       6.298058       2.190993       4553734.      0.2928446E-04   1300691.       187702.1    
  66316.32       275.0000       3911.222       6.300658       2.191418       4554498.      0.2924735E-04   1302250.       187829.1    
  66667.19       275.0000       3912.480       6.302621       2.191204       4556192.      0.2921565E-04   1303685.       187852.9    
  67018.07       275.0000       3913.449       6.304475       2.190699       4558283.      0.2918572E-04   1305039.       187812.7    
  67368.94       275.0000       3914.640       6.309027       2.193524       4555981.      0.2913236E-04   1307036.       188354.8    
  67719.81       275.0000       3915.660       6.310615       2.192735       4558432.      0.2910466E-04   1308343.       188268.3    
  68070.69       275.0000       3916.995       6.312990       2.192976       4559299.      0.2906892E-04   1309908.       188373.9    
  68421.56       275.0000       3918.089       6.316336       2.194421       4559051.      0.2902698E-04   1311598.       188675.0    
  68772.44       275.0000       3919.085       6.319115       2.195094       4559708.      0.2898987E-04   1313153.       188838.6    
  69123.31       275.0000       3920.218       6.321825       2.195706       4560289.      0.2895261E-04   1314735.       188998.6    
  69474.19       275.0000       3921.455       6.324421       2.196155       4560857.      0.2891550E-04   1316335.       189135.6    
  69825.06       275.0000       3922.598       6.327251       2.196995       4561319.      0.2887788E-04   1317930.       189335.5    
  70175.94       275.0000       3923.467       6.330289       2.197915       4561648.      0.2883919E-04   1319519.       189536.1    
  70526.81       275.0000       3924.613       6.332837       2.198353       4562451.      0.2880356E-04   1321070.       189667.0    
  70877.69       275.0000       3925.740       6.335371       2.198791       4563312.      0.2876832E-04   1322609.       189797.1    
  71228.56       275.0000       3927.061       6.337724       2.198947       4564096.      0.2873295E-04   1324189.       189887.8    
  71579.44       275.0000       3928.200       6.340672       2.199925       4564334.      0.2869464E-04   1325816.       190111.9    
  71930.31       275.0000       3929.324       6.343276       2.200508       4565141.      0.2865943E-04   1327359.       190267.1    
  72281.19       275.0000       3930.251       6.345819       2.200743       4565990.      0.2862416E-04   1328886.       190352.7    
  72632.06       275.0000       3931.512       6.349171       2.202305       4565521.      0.2858262E-04   1330625.       190684.1    
  72982.93       275.0000       3932.877       6.350561       2.201255       4567643.      0.2855479E-04   1332023.       190568.6    
  73333.81       275.0000       3933.745       6.354581       2.203586       4566632.      0.2851016E-04   1333788.       191014.5    
  73684.68       275.0000       3934.810       6.357062       2.203916       4567548.      0.2847590E-04   1335314.       191123.3    
  74035.56       275.0000       3936.048       6.358933       2.203458       4569097.      0.2844516E-04   1336776.       191104.1    
  74386.43       275.0000       3936.926       6.362550       2.205250       4568605.      0.2840356E-04   1338471.       191457.7    
  74737.31       275.0000       3938.250       6.364285       2.204660       4570265.      0.2837371E-04   1339928.       191419.7    
  75088.18       275.0000       3939.340       6.366995       2.205309       4570809.      0.2833791E-04   1341507.       191585.4    
  75439.06       275.0000       3940.440       6.369693       2.205949       4571354.      0.2830223E-04   1343087.       191750.2    
  75789.93       275.0000       3941.550       6.372389       2.206567       4571859.      0.2826647E-04   1344677.       191911.6    
  76140.81       275.0000       3942.234       6.376265       2.208671       4571184.      0.2822421E-04   1346369.       192311.2    
  76491.68       275.0000       3943.506       6.378026       2.208113       4572841.      0.2819472E-04   1347819.       192276.0    
  76842.56       275.0000       3944.636       6.380685       2.208719       4573386.      0.2815946E-04   1349403.       192436.6    
  77193.43       275.0000       3945.942       6.383131       2.209123       4574084.      0.2812530E-04   1350988.       192570.8    
  77544.31       275.0000       3946.897       6.386460       2.210564       4573845.      0.2808604E-04   1352658.       192868.8    
  77895.18       275.0000       3948.009       6.389182       2.211269       4574322.      0.2805071E-04   1354248.       193046.2    
  78246.06       275.0000       3949.048       6.392249       2.212413       4574382.      0.2801325E-04   1355885.       193296.9    
  78596.93       275.0000       3950.203       6.394704       2.212780       4575184.      0.2797984E-04   1357437.       193417.5    
  78947.80       275.0000       3951.294       6.397356       2.213388       4575759.      0.2794527E-04   1359010.       193577.3    
  79298.68       275.0000       3952.399       6.400026       2.214041       4576308.      0.2791068E-04   1360588.       193745.6    
  79649.55       275.0000       3953.545       6.402155       2.214011       4577599.      0.2787996E-04   1362068.       193796.6    
  80000.43       275.0000       3954.634       6.404814       2.214638       4578157.      0.2784556E-04   1363643.       193959.9    
  80351.30       275.0000       3955.711       6.407537       2.215334       4578614.      0.2781076E-04   1365232.       194134.5    
  80702.18       275.0000       3956.813       6.410178       2.215944       4579173.      0.2777657E-04   1366809.       194295.7    
  81053.05       275.0000       3957.871       6.413309       2.217174       4579051.      0.2773899E-04   1368476.       194563.4    
  81403.93       275.0000       3959.001       6.415335       2.217036       4580510.      0.2770954E-04   1369927.       194594.8    
  81754.80       275.0000       3959.984       6.417770       2.217281       4581374.      0.2767694E-04   1371448.       194686.1    
  82105.68       275.0000       3961.376       6.420239       2.217721       4581838.      0.2764298E-04   1373082.       194831.8    
  82456.55       275.0000       3962.154       6.423597       2.219258       4581735.      0.2760560E-04   1374701.       195140.3    
  82807.43       275.0000       3963.257       6.426129       2.219819       4582517.      0.2757308E-04   1376241.       195293.4    
  83158.30       275.0000       3964.364       6.428832       2.220479       4582885.      0.2753857E-04   1377848.       195464.0    
  83509.18       275.0000       3965.365       6.431424       2.221044       4583607.      0.2750579E-04   1379385.       195613.0    
  83860.05       275.0000       3966.476       6.433973       2.221576       4584264.      0.2747290E-04   1380948.       195761.4    
  84210.92       275.0000       3967.659       6.436615       2.222161       4584605.      0.2743860E-04   1382571.       195923.1    
  84561.80       275.0000       3968.642       6.439323       2.222918       4585208.      0.2740549E-04   1384119.       196105.1    
  84912.67       275.0000       3969.805       6.441983       2.223528       4585534.      0.2737127E-04   1385742.       196270.2    
  85263.55       275.0000       3970.814       6.444695       2.224252       4586035.      0.2733786E-04   1387311.       196447.9    
  85614.42       275.0000       3971.949       6.447188       2.224834       4586864.      0.2730630E-04   1388847.       196607.0    
  85965.30       275.0000       3972.972       6.449880       2.225570       4587406.      0.2727328E-04   1390410.       196787.8    
  86316.17       275.0000       3974.019       6.452380       2.225971       4588078.      0.2724097E-04   1391964.       196910.5    
