|6.6.6
CM_hydrous_differentiated_Ganymede_Core80Fe20S_1.tab                                                
           2
T(K)    
   273.150000000000     
   5.53477564102564     
         313
P(bar)  
   1.00000000000000     
   277.240384615385     
         313
           9
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  887.510        1.00000        3553.07        6.63800        3.18879       0.387395E+007  0.382838E-004  0.108387E+007   361291.     
  893.045        1.00000        3552.33        6.63565        3.18766       0.387784E+007  0.383391E-004  0.108288E+007   360959.     
  898.580        1.00000        3551.57        6.63331        3.18654       0.388174E+007  0.383972E-004  0.108188E+007   360628.     
  904.114        1.00000        3550.83        6.63095        3.18540       0.388548E+007  0.384503E-004  0.108089E+007   360295.     
  909.649        1.00000        3550.08        6.62859        3.18427       0.388923E+007  0.385058E-004  0.107989E+007   359963.     
  915.184        1.00000        3549.33        6.62622        3.18313       0.389294E+007  0.385613E-004  0.107889E+007   359630.     
  920.719        1.00000        3548.57        6.62387        3.18200       0.389662E+007  0.386178E-004  0.107789E+007   359298.     
  926.254        1.00000        3547.82        6.62149        3.18086       0.390023E+007  0.386731E-004  0.107689E+007   358964.     
  931.788        1.00000        3547.06        6.61912        3.17972       0.390380E+007  0.387285E-004  0.107589E+007   358631.     
  937.323        1.00000        3546.31        6.61674        3.17858       0.390733E+007  0.387841E-004  0.107489E+007   358297.     
  942.858        1.00000        3545.55        6.61436        3.17744       0.391082E+007  0.388396E-004  0.107389E+007   357963.     
  948.393        1.00000        3544.79        6.61198        3.17629       0.391427E+007  0.388952E-004  0.107288E+007   357628.     
  953.927        1.00000        3544.04        6.60959        3.17514       0.391767E+007  0.389508E-004  0.107188E+007   357294.     
  959.462        1.00000        3543.28        6.60720        3.17400       0.392104E+007  0.390063E-004  0.107088E+007   356959.     
  964.997        1.00000        3542.52        6.60480        3.17285       0.392436E+007  0.390619E-004  0.106987E+007   356623.     
  970.532        1.00000        3541.76        6.60241        3.17169       0.392765E+007  0.391175E-004  0.106886E+007   356288.     
  976.067        1.00000        3541.00        6.60000        3.17054       0.393090E+007  0.391731E-004  0.106786E+007   355952.     
  981.601        1.00000        3540.24        6.59757        3.16937       0.393408E+007  0.392268E-004  0.106684E+007   355614.     
  987.136        1.00000        3539.48        6.59517        3.16822       0.393725E+007  0.392827E-004  0.106583E+007   355278.     
  992.671        1.00000        3538.71        6.59276        3.16706       0.394040E+007  0.393387E-004  0.106483E+007   354942.     
  998.206        1.00000        3537.94        6.59034        3.16590       0.394350E+007  0.393946E-004  0.106382E+007   354605.     
  1003.74        1.00000        3537.18        6.58793        3.16474       0.394657E+007  0.394507E-004  0.106280E+007   354268.     
  1009.28        1.00000        3536.41        6.58551        3.16357       0.394960E+007  0.395067E-004  0.106179E+007   353931.     
  1014.81        1.00000        3535.64        6.58308        3.16241       0.395260E+007  0.395628E-004  0.106078E+007   353594.     
  1020.34        1.00000        3534.87        6.58065        3.16124       0.395556E+007  0.396189E-004  0.105977E+007   353256.     
  1025.88        1.00000        3534.10        6.57822        3.16008       0.395850E+007  0.396751E-004  0.105875E+007   352918.     
  1031.41        1.00000        3533.32        6.57580        3.15891       0.396140E+007  0.397317E-004  0.105774E+007   352581.     
  1036.95        1.00000        3532.55        6.57337        3.15774       0.396426E+007  0.397883E-004  0.105673E+007   352243.     
  1042.48        1.00000        3531.77        6.57094        3.15658       0.396710E+007  0.398450E-004  0.105571E+007   351905.     
  1048.02        1.00000        3531.00        6.56850        3.15541       0.396990E+007  0.399017E-004  0.105470E+007   351567.     
  1053.55        1.00000        3530.22        6.56606        3.15423       0.397268E+007  0.399585E-004  0.105368E+007   351228.     
  1059.09        1.00000        3529.44        6.56362        3.15306       0.397542E+007  0.400154E-004  0.105267E+007   350890.     
  1064.62        1.00000        3528.66        6.56117        3.15189       0.397813E+007  0.400723E-004  0.105165E+007   350551.     
  1070.16        1.00000        3527.88        6.55873        3.15071       0.398081E+007  0.401293E-004  0.105064E+007   350212.     
  1075.69        1.00000        3527.10        6.55627        3.14953       0.398346E+007  0.401864E-004  0.104962E+007   349872.     
  1081.23        1.00000        3526.32        6.55382        3.14835       0.398609E+007  0.402436E-004  0.104860E+007   349533.     
  1086.76        1.00000        3525.53        6.55136        3.14717       0.398868E+007  0.403008E-004  0.104758E+007   349193.     
  1092.30        1.00000        3524.75        6.54890        3.14599       0.399124E+007  0.403581E-004  0.104656E+007   348853.     
  1097.83        1.00000        3523.97        6.54643        3.14480       0.399378E+007  0.404155E-004  0.104554E+007   348513.     
